document_id,file_name,relative_file_path,source_institution,project_name,project_type,technology_subtype,country,project_stage,document_type,publication_year,source_url,file_format,page_count,is_scanned,file_checksum,ingestion_status,parsing_quality,applicable_to_a1,document_priority
ADB_009_PDF,ADB_Energy_Storage_Green_Hydrogen_Project_Page.pdf,ADB_Project_Documents/ADB_Energy_Storage_Green_Hydrogen_Project_Page.pdf,ADB,Energy Storage and Green Hydrogen Development Project,Energy infrastructure,Grid-scale BESS and green hydrogen,Georgia,Active,ADB project page snapshot,2026,https://www.adb.org/projects/54448-001/main,PDF,3,No,8819d42683a374bbe9210e514839977677ed83259ce234a68b173e5fd94debf2,Pending,Medium,Supplementary,Supplementary
ADB_010_PDF,ADB_Floating_Solar_Project_Page.pdf,ADB_Project_Documents/ADB_Floating_Solar_Project_Page.pdf,ADB,Floating Solar Energy Project,Solar energy,Floating solar photovoltaic,Viet Nam,Active,ADB project page snapshot,2026,https://www.adb.org/projects/51327-001/main,PDF,3,No,a0f31adb1b3e0caaa6f8d6294f7bf5e6f04257582666066fbe04726f1c26d556,Pending,Medium,Yes,Supporting
ADB_006_PDF,ADB_Gulf_Solar_BESS_IEE.pdf,ADB_Project_Documents/ADB_Gulf_Solar_BESS_IEE.pdf,ADB,Gulf Solar and Solar with Battery Energy Storage Systems Project - Solar Development Solar Power Plant Project,Solar energy with storage,Ground-mounted solar photovoltaic and BESS,Thailand,Active,Initial Environmental Examination,2024,https://www.adb.org/sites/default/files/project-documents/57173/57173-001-iee-en_1.pdf,PDF,733,No,8820170010ecdcd5d7df2ec18778f193f42ce56a0f3aacd14a710947836b82e1,Pending,High,Yes,Supporting
ADB_004_PDF,ADB_Gulf_Solar_BESS_Project_Page.pdf,ADB_Project_Documents/ADB_Gulf_Solar_BESS_Project_Page.pdf,ADB,Gulf Solar and Solar with Battery Energy Storage Systems Project,Solar energy with storage,Ground-mounted solar photovoltaic and BESS,Thailand,Active,ADB project page snapshot,2026,https://www.adb.org/projects/57173-001/main,PDF,3,No,e87b348a972c5175fcc6c22d8ecd6503d2a79311a0516e888f0c15d5320f0964,Pending,Medium,Yes,Supporting
ADB_005_PDF,ADB_Gulf_Solar_BESS_SCAR.pdf,ADB_Project_Documents/ADB_Gulf_Solar_BESS_SCAR.pdf,ADB,Gulf Solar and Solar with Battery Energy Storage Systems Project - Solar Development Solar Power Plant Project,Solar energy with storage,Ground-mounted solar photovoltaic and BESS,Thailand,Active,Social Compliance Audit Report,2024,https://www.adb.org/sites/default/files/project-documents/57173/57173-001-scar-en.pdf,PDF,100,No,91789b8da84d16472e4a80ff438c900f442c40b2c93e0d459e6ca6d53c608f9b,Pending,High,Yes,Supporting
ADB_002_PDF,ADB_Guzar_Solar_BESS_ESIA_Part_2.pdf,ADB_Project_Documents/ADB_Guzar_Solar_BESS_ESIA_Part_2.pdf,ADB,Guzar Solar and Battery Energy Storage Project,Solar energy with storage,Utility-scale solar photovoltaic and BESS,Uzbekistan,Approved,Environmental and Social Impact Assessment - Part 2 (Draft),2025,https://www.adb.org/sites/default/files/project-documents/58094/58094-001-esia-en_0.pdf,PDF,214,No,37ad8d64c15643ab530f5487c328e9f74782b56456a22f6d3f85d0cda20bf179,Pending,High,Yes,Supporting
ADB_003_PDF,ADB_Guzar_Solar_BESS_ESIA_Part_4.pdf,ADB_Project_Documents/ADB_Guzar_Solar_BESS_ESIA_Part_4.pdf,ADB,Guzar Solar and Battery Energy Storage Project,Solar energy with storage,Utility-scale solar photovoltaic and BESS,Uzbekistan,Approved,Environmental and Social Impact Assessment - Part 4 (Draft),2025,https://www.adb.org/sites/default/files/project-documents/58094/58094-001-esia-en_2.pdf,PDF,149,No,5d0c4918d8a99ce732c8254a191e7a234c3f187d768fe4fb33731d340b510f2f,Pending,High,Yes,Supporting
ADB_001_PDF,ADB_Guzar_Solar_BESS_Project_Page.pdf,ADB_Project_Documents/ADB_Guzar_Solar_BESS_Project_Page.pdf,ADB,Guzar Solar and Battery Energy Storage Project,Solar energy with storage,Utility-scale solar photovoltaic and BESS,Uzbekistan,Approved,ADB project page snapshot,2026,https://www.adb.org/projects/58094-001/main,PDF,3,No,c7f630c42d89ddd3fad7da9eeb56443ec5e4916f9b7bf0dcd8340b7580a1d80e,Pending,Medium,Yes,Supporting
ADB_007_PDF,ADB_Utility_Scale_BESS_Project_Page.pdf,ADB_Project_Documents/ADB_Utility_Scale_BESS_Project_Page.pdf,ADB,Utility-Scale Battery Energy Storage Project,Energy storage,Utility-scale grid-connected BESS,Cambodia,Proposed,ADB project page snapshot,2026,https://www.adb.org/projects/59110-001/main,PDF,4,No,15bdd9d3bc19c578463367b287d406a46db573a8d60c0f8f83bb7973e42841fa,Pending,Medium,Supplementary,Supplementary
ADB_008_PDF,ADB_Utility_Scale_BESS_Project_Printable.pdf,ADB_Project_Documents/ADB_Utility_Scale_BESS_Project_Printable.pdf,ADB,Utility-Scale Battery Energy Storage Project,Energy storage,Utility-scale grid-connected BESS,Cambodia,Proposed,ADB printable project data sheet,2026,https://www.adb.org/node/1065411/printable/pdf,PDF,3,No,cf812d0513ccafa9376a61c14e7a7a23f0a886396fb5fd531c25a854b395c87a,Pending,Medium,Supplementary,Supplementary
