relative_path,size_bytes,sha256,row_count
01_RAG_Public_Deal_Documents/Synthetic_IC_Submission_Pack/TXN_HELIOS_001/README_SYNTHETIC_PACK.md,1050,b88beb92ccf9df452e76ba8e67a7ad2fc06042ad04af56e89f82ed943845d596,
01_RAG_Public_Deal_Documents/Synthetic_IC_Submission_Pack/TXN_HELIOS_001/Synthetic_Project_Helios_Financial_Assumptions.xlsx,19102,6af795415a3ec308656874618a804257d09ede0a780eb36a8584c59501c6cbe2,
01_RAG_Public_Deal_Documents/Synthetic_IC_Submission_Pack/TXN_HELIOS_001/Synthetic_Project_Helios_IC_Deck.pdf,146380,fb5449274faee6666026100e42a0240a0cc8898a800cbeac0387f33de5d1398e,
01_RAG_Public_Deal_Documents/Synthetic_IC_Submission_Pack/TXN_HELIOS_001/Synthetic_Project_Helios_IC_Deck.pptx,254303,982d6acebe2bb8c93072056f618ae866423f69f54bfddb803ebfd970fde65715,
01_RAG_Public_Deal_Documents/Synthetic_IC_Submission_Pack/TXN_HELIOS_001/Synthetic_Project_Helios_Investment_Memorandum.docx,41803,eba378f0b6312d431a67f013c2ab1105346a211553f16a4d91196ec8f0433e35,
01_RAG_Public_Deal_Documents/Synthetic_IC_Submission_Pack/TXN_HELIOS_001/Synthetic_Project_Helios_Investment_Memorandum.pdf,136993,b70d488d9d20ac84af4edad9dacf993e82fd81e511e9734e744517a5835c7c77,
01_RAG_Public_Deal_Documents/Synthetic_IC_Submission_Pack/TXN_HELIOS_001/Synthetic_Project_Helios_Market_and_Benchmark_Note.docx,39062,08b5f124d00cb7c679f023eb6c7948e6aa32380f0a3ec1364dd6c1efac2e918e,
01_RAG_Public_Deal_Documents/Synthetic_IC_Submission_Pack/TXN_HELIOS_001/Synthetic_Project_Helios_Market_and_Benchmark_Note.pdf,83551,23a8910616fc6e5940f1795aefe7f181f71ceabb2ef6836dce0c216e8e611f11,
01_RAG_Public_Deal_Documents/Synthetic_IC_Submission_Pack/TXN_HELIOS_001/synthetic_submission_manifest.csv,701,7602fc9fd5a530e199938d03d515461763d143c8a82d37734d27386a7e23a837,4
03_ML_Input_Datasets/KMeans_Cost_and_Project_Clusters/synthetic_project_cost_feature_matrix.csv,4081,3b2ad02b3278d3183a709b20dc10dfb422884127829634093e07915a8b667a31,20
03_ML_Input_Datasets/KMeans_Cost_and_Project_Clusters/synthetic_project_cost_ledger.csv,83884,cd93848b9e154fd7a27329eb869693cea769a94d3b134eaf11d1574511825ad4,340
03_ML_Input_Datasets/KMeans_Cost_and_Project_Clusters/synthetic_project_cost_ledger.xlsx,48159,163f34c144b892f34ad69d54e8452319b75cd27d84a1f8387e230949899f9bb6,
04_Seed_Libraries/synthetic_historical_ic_qa.csv,41675,b191818dcf1a629c71c3e7408b1e706bb64fc1e3b6d1531ccbd9203c8e5e62e1,100
04_Seed_Libraries/synthetic_historical_ic_qa.xlsx,18277,94489104da6870c40cb72551cb65888fb57c913bc39e27ef646a416d9ed81e41,
06_Synthetic_POC_Ground_Truth/expected_completeness_assessment.csv,1830,5e55cc4360d7bbb36b17e3047512ee76125bd317177c79b982c18379e3a4fef2,12
06_Synthetic_POC_Ground_Truth/expected_cost_optimization_findings.csv,1242,ae2a89f0cb063cb49a72227e2988a01cb88f9946149d796257f4f7a09717857a,6
06_Synthetic_POC_Ground_Truth/expected_cross_document_inconsistencies.csv,406,f528d072075595424e3fd4da9d3ad8dc9d35556838f1ebca934f8adea1ebb107,6
06_Synthetic_POC_Ground_Truth/expected_financial_metrics.csv,1418,f051789c11f8a1a42545037d71a0a05d2ab146ae35ddbce5c9d2112d8455aaec,15
06_Synthetic_POC_Ground_Truth/expected_ic_question_matches.csv,2380,a979a1e3fbfbbad1cddb900c4ff1ebc25c5cf15df23a2a2cd23ccc6e57a0e0a7,15
06_Synthetic_POC_Ground_Truth/expected_kmeans_cluster_assignments.csv,4256,18b535bf5ad04583f757a322bf1eacbe02786e249e0ff0a138e9eec3a8c1e09f,20
README_SYNTHETIC_POC_IMPLEMENTATION.md,3675,11c70e63076b26019a2892de5f8bc2f03a7ac6316628595c681a703237729d94,
